한글,영어,일어
증식이득,breeding gain, 增殖利得
분열성 물질의 증식,breeding of fissionable material,
브라이트 방정식,Breit equation, ブライト方程式
브라이트 해밀토니안,Breit Hamiltonian, ブライトハミルトニアン
브라이트-위그너의 공식,Breit-Wigner('s) formula,
브라이트-위그너의 단일 준위공식,Breit-Wigner's one level formula,
브루스터 창,Brewster angled window, フル?スタ?窓
브루스터의 각,Brewster's angle, ブル?スタ?角
브루스터 무늬,Brewster's fringes, ブル?スタ?の干涉じま
브루스터의 법칙,Brewster's law, ブル?スタ?の法則
"브리지 회로, 다리흐름길",bridge circuit,ブリッジ回路
다리방법,bridge method, ブリッジ法
브리지만 방법,Bridgman method, ブリッジマン法
밝은 마당 이미지,bright field image, 明視野像
밝은선 빛띠,bright-line spectrum,
"밝기<<광원의>>, 휘도",brightness, (1)明るさ (2)輝度 (3)ブライトネス
밝기 온도,brightness temperature, 輝度溫度
휘도,brilliance, 輝 度
브릴루앵 함수,Brillouin function, ブリュアン關數
"브릴루앙 산란, 브릴루앙 흩뜨림",Brillouin scattering, ブリュアン散亂
브릴리앙 정리,Brillouin theorem, ブリュアン定理
브릴루앙 영역,Brillouin zone, ブリュアン域(ブリユアン帶)
브리넬 경도,Brinell hardness, ブリネル硬さ
부스러짐금감,brittle fracture, 脆性破壞
"깨짐성, 부스러짐성, 취성",brittleness, 脆 性 / もろさ
넓어지기,broadening,
브로디 분포,Brody distribution, ブロ?ディ分布
깨진 대칭,broken symmetry, ブロ?クンシンメトリ?
브라운 동역학,Brownian dynamics,
브라운 운동,Brownian motion,
BRS 변환<<베키-라우에-스토라 변환>>,BRS transformation,
부르크너의 이론,Brueckner's theory, ブルックナ?理論
붓 방전,brush discharge,
"기포상자, 거품상자",bubble chamber, 泡 箱
"거품수세개, 기포계수기",bubble counter,
거품밀도,bubble density, 泡密度
거품 도표,bubble diagram, 氣泡型のダイヤグラム
거품 구역,bubble domain, バブル磁區 / バブルドメイン
"기포압력, 거품압력",bubble pressure,
"거품뗏목, 기포뗏목",bubble raft,
좌굴,buckling, 座 屈
"버퍼, 완충 물질, 완충기, 완충액, 완충제",buffer,緩衝器
완충 작용,buffer action,
완충제,buffer agent,
완충증폭기,buffer amplifier, 緩衝增幅器 / バッファ增幅器
완충 메모리,buffer memory, バッファ記憶裝置
"완충액, 완충용액",buffer solution, 緩衝溶液
조립 원리,building-up principle, 組立の原理
증진 인자,buildup factor, ビルドアップ係數
내장된,built-in,
"덩치, 부피, 체적",bulk,?積
덩치효과,bulk effect,?積?果
부피불음곁수,bulk expansion coefficient,
"부피 탄성률, 체적 탄성율",bulk modulus, 體積彈性率
통째운동,bulk motion,
덩치시료,bulk sample,
덩치 변형,bulk strain, 體積ひずみ
벌크하우제 쿠르츠 떨기,Bulkhause-Kurz oscillation, バルクハウゼン·クルツ振動
범프전자석,bump magnet, バンプ電磁石
울퉁불퉁한 또아리,bumpy torus, バンピ?ト?ラス
살다발 뭉치,bunch, バンチ
뭉치개,buncher, バンチャ?
덩어리작용,bunching action, 集群作用
살묶음,bundle of rays, 光線束
분젠 전지,Bunsen cell,ブンゼン電池
"뜰힘, 뜸",buoyance,
부력,buoyancy, 浮 力
부력 떨기수,buoyant frequency, 浮力振動數
뷰렛,burette, ビュレット
부르거스 모형,Burgers model, バ?ガ?ス模型
버거의 벡터,Burger's vector,
버너,burner,バ?ナ?
(핵연료) 연소방정식,burn-up equation, 燃燒方程式
부스타인-모스 효과,Burstein-Moss effect, バ?スタイン·モス ?果
BW 상태,BW state,
시-수,c number, c數
요오드화카드뮴(형) 구조,cadmium iodide structure, ヨウ化カドミウム型構造
"카드뮴 광전지, 카드뮴 빛전지",cadmium photoelectric cell,カドミウム光電池
카드뮴 비,cadmium ratio, カドミウム比
바구니 효과,cage effect,
방해석,calcite,
방해석 구조,calcite structure, 方解石型構造
탄화 칼슘(형) 구조,calcium carbide structure, 炭化カルシウム型構造
미적분학,calculus,
"변분법, 변분학",calculus of variation(s),
눈금맞추기,calibration, (1)校 正《較 正》 (2)目盛定め
눈금 맞추기 곡선,calibration curve, 校正曲線
칼란-시만직 방정식,Callan-Symanzik equation, カラン·ジマンツィク方程式
열소설,caloric theory, カロリック說
"열량계, 열재개",calorimeter, (1)熱量計 (2)力ロリメ?タ?
열량계법 쬐임량측정기,calorimetric dosemeter, 比色線量計
"열계량법, 열재기",calorimetry, (l)熱量測定 (2)力ロリメトリ?
캘빈 사이클,Calvin cycle, カルビンサイクル
캠버,camber, 反 り
"사진기, 카메라",camera,カメラ
커낼선,canal rays,カナル線
촉광<<단위>>,candle,燭光
"광도, 촉광<<단위>>",candle power,燭
"바른 맞바꿈관계, 정준교환관계",canonical commutation elation, 正準交換關係
"바른켤레, 정준켤레",canonical conjugation,
"바른틀분포, 정준분포",canonical distribution, 正準分布
"바른틀 모듬, 정준 앙상블",canonical ensemble, 正準集團
"바른틀 상태방정식, 정준 상태방정식",canonical equation of state,
"바른틀꼴, 정준형",canonical form,
"바른틀연산자, 정준연산자",canonical operator,
바른 양자화,canonical quantization, 正準量子化
"바른틀변환, 정준변환",canonical transformation, 正準變換
"바른틀변수, 정준변수",canonical variable, 正準變數
"바른틀 켤레운동량, 정준공액 운동량",canonically conjugate momentum,
기울은 스핀 구조,canted spin structure, 傾角スピン構造
전기들이재개,capacitance meter, 容量計
전기들이저항,capacitive reactance, 容量性リアクタンス
"전기들이 시간상수, 전기용량 시간상수",capacitive time constant,
"들이, 축전기, 전기들이",capacitor, コンデンサ? / キャパシタ?
들이,capacity,?電容量/容量
들이인자,capacity factor,容量因子
"모세관 현상, 실관현상",capillarity,
실관 전기현상,capillary electrical phenomenon, 毛管電氣現象(電氣毛管現象)
실관현상,capillary phenomena, 毛管現象
"모세관, 실관",capillary tube, 毛 管
실관식 속쓸림재개,capillary viscometer, 細管粘度計
표면장력파,capillary wave, 表面張力波
껍질,capsid,
"잡힘, 포획",capture, 捕 獲
"잡힘자름넓이, 포획자름넓이",capture cross section, 捕獲斷面積
포획반응,capture reaction, 捕獲反應
중성자포획대핵분열비,capture-to-fission ratio, 捕獲對核分裂比
탄소순환반응,carbon cycle, 炭素サイクル
잇나화탄소기체 레이저,carbon dioxide gas laser,
잇나화탄소레이저,carbon dioxide laser,
탄소마이크로폰,carbon microphone,炭素マイクロホン
탄소저항 온도계,carbon resistance thermometer, 炭素抵抗濕度計
탄소막저항,carbon-film resistor, 炭素皮膜抵抗
석탄기,Carboniferous period,
탄소-질소-산소 순환반응,carbon-nitrogen-oxygen cycle,
카버란덤,carborundum,
"방위 기점, 주요점",cardinal point(s),
"카디오이드 집광기, 카디오이드 빛모으개",cardioid condenser,
카르노 순환 (과정),Carnot cycle, カルノ?サイクル
카르노 효율,Carnot efficiency, カルノ?率
카르노 기관,Carnot engine,
카르노-클라우지우스 원리,Carnot-Clausius principle,
카르노(의) 정리,Carnot's theorem, カルノ?の定理
카로티노이드,carotenoid, カロチノイド
"나르개, 운반자",carrier, (1)擔體 / キャリヤ? (2)搬送波
나르개 보정,carrier compensation, キャリヤ?の補償
"나르개 밀도, 운반자 밀도",carrier density,キャリヤ?密度
나르개 집어넣기,carrier injection, キャリヤ?注人
나르개 수명,carrier life time, キャリヤ?壽命
"나르개 이동도, 운반자 이동도",carrier mobility,キャリヤ?移動度
"나르개 재결합, 운반자 재결합",carrier recombination,
나르개파,carrier wave, 搬送波
"직각 자리표, 직각 좌표",cartesian coordinate,
캐스캐이드,cascade,カスケ?ド
캐스케이드증폭기,cascade amplifier, カスケ?ド增幅器
캐스케이드이음,cascade connection, カスケ?ド接續
캐스케이드 액화,cascade liquefaction, カスケ?ド液化法
캐스캐이드 내비침,cascade radiation, カスケ?ド放射
캐스캐이드 소나기,cascade shower, カスケ?ドシャワ?
캐스캐이드 변압기,cascade transformer, カスケ?ド變壓器
캐스캐이드 단위,cascade unit, カスケ?ドユニット
카시미르 연산자,Casimir operator, カシミ?ル演算子
카세그레인 모임점,Cassegrain focus, カセグレン焦點
촉매작용,catalysis, 觸媒作用
촉매(제),catalyst,?媒?
"전기영동, 전하이동",cataphoresis, 電氣泳動
파국,catastrophe, カタストロフィ?
파국이론,catastrophe theory,
캐디토미터,cathetometer, カセトメ?タ?
"마이너스극<<전지의>>, 음극",cathode, 陰 極 / カソ?ド
"음극 어두운 부분, 음극암흑부",cathode dark space, 陰極暗部
"음극선 루미네센스, 음극선 찬빛냄",cathode ray luminescence,
음극선 오실로그래프,cathode ray oscillograph,陰極線オシログレフ
음극선 오실로스코프,cathode ray oscilloscope,陰極線オシロスコ?プ
음극선 과녁판,cathode ray target plate,
음극점,cathode spot, 陰極〔輝]點
음극때려내기,cathode sputtering,
음극선 에돌이,cathode-ray diffraction, 陰極線回折
음극선 찬빛,cathode-ray luminescence, 陰極線ルミネセンス
"양이온 교환, 양이온 바꿈",cation exchange,
양이온 교환수지,cation exchange resin,
묘안석<<보석>>,cat's-eye, キャッツアイ
코슈아형 결정법,Cauchois type crystal method, コ?シュア型結晶法
코쉬 수,Cauchy number, コ?シ一數
코쉬 문제,Cauchy problem, コ?シ?問題
코시 관계(식),Cauchy relation,コ?シ??係式
코쉬 리만 관계,Cauchy-Riemann relations, コ?シ?·リ?マンの關係式
인과성 그린함수,causal Green function, 因果グリ?ン關數
"인과성, 인과율",causality, 因果律
인과율원리,causality principle,因果律原理
캐번디시 저울,Cavendish balance,
캐번디시 실험,Cavendish('s) experiment,
동공,cavitation, キャビテ?ション / 空洞現象
"공동, 빈구멍",cavity, 空 洞
공동 쏟아내기,cavity dumping, キャビティダンピング
빈구멍내비침,cavity radiation,
빈구멍껴떨개,cavity resonator, 空洞共振器
반구멍파길이재개,cavity wavemeter, 空洞波長計
천체,celestial body, 天 體
"황경, 하늘씨줄",celestial longitude,
천체역학,celestial mechanics, 天體力學
"세포, 용기, 전지",cell, (l)電 池 (2)電解槽 (3)細 胞
세포막,cell membrane, 細胞膜
낱칸모형이론,cell model theory, 細胞模型理論
세포핵,cell nucleus, 細胞核
낱칸 구조,cell structure, セル構造
세포화방법,cellular method,
섭씨눈금,Celsius scale,セルシウス?位
섭씨온도,Celsius temperature,?氏?度
섭씨온도눈금,Celsius temperature scale,
센타우루스,Centaurus,
"뜰힘중심, 부력중심",center of buoyance,
부력 중심,center of buoyancy, 浮力〔の]中心(浮 心)
"곡률중심, 굽은율중심",center of curvature, 曲率中心
지구중심,center of earth,
휨 중심,center of flexure, たわみ[の]中心
힘의 중심,center of forces,力の中心
무게중심,center of gravity, 重 心
"질량중심 자리표계, 질량중심 좌표계",center of mass coordinate system,
거울중심,center of mirror,
"떨기중심, 진동중심",center of oscillation, 振動の中心
타격중심,center of percussion, 打擊の中心
압력중심,center of pressure, 壓力[の]中心
대칭중심,center of symmetry, 對稱中心
질량중심 자리표,center of-mass coordinate system, 質量中心系
질량중심 효과,center-of-mass effect, 重心 ?果
질량중심계,center-of-mass system, 重心系
센티미터<<단위>>,centimeter,
수은 기둥 센티미터,centimeter mercury column, 水銀柱センチメ?トル【氣壓の單位】
물기둥 센티미터,centimetre water column, 水柱センチメ?トル【氣壓の單位】
"중심력, 중심힘",central force, 中心力
중심력장,central force field, 中心力場
중심 극한 정리,central limit theorem, 中心極限定理
"중심방식, 중앙방식",central mode, セントラルモ?ド
중추 신경계,central nervous system, 中樞神經系
가운데 봉우리,central peak, セントラルピ?ク
중심퍼텐셜,central potential,
중심힘 마당,central-force field,
원심힘 가로막이,centrifugal barrier, 角運動量障壁
원심력 찌그러짐,centrifugal distortion, 遠心力ひずみ
"원심력, 원심힘",centrifugal force, 遠心力
원심 속도 조절기,centrifugal governor,
원심 분리기,centrifugal separator, 遠心〔分離]機
"원심력 벽, 원심힘 벽",centrifugal wall,
원심분리기,centrifuge, 遠心〔分離〕機
구심가속도,centripetal acceleration, 向心加速度
"구심력, 구심힘",centripetal force, 向心力
무게중심<<기하학적 도형의>>,centroid,
세페이드 변광성,Cepheid variable,
"음성 스펙트럼, 소리 떨기수 펼친 띠",cepstrum, ケプストラム
세라믹거르개,ceramic filter, セラミックフィルタ?
세라믹 연료,ceramic fuel, セラミック燃料
세라믹떨개,ceramic oscillator, セラミック發振器
"체렌코프 계수기, 체렌코프 수세개",Cerenkov counter,
체렌코프 검출기,Cerenkov detector,
체렌코프 효과,Cerenkov effect,
"체렌코프 내비침, 체렌코프 복사",Cerenkov radiation,
염화세슘(형) 구조,cesium chloride structure, 鹽化セシウム型構造
"세슘 광전지, 세슘 빛전지",cesium photoelectric cell,
시지에스 전자기단위,CGS electromagnetic unit,
시지에스 단위계,CGS system of unit, CGS單位系
시지에스 단위,CGS unit, CGS單位
"사슬 나르개, 연쇄 운반자",chain carrier,
"사슬시작반응, 연쇄개시반응",chain initiation reaction,
"사슬반응 원자로, 연쇄반응 원자로",chain reacting pile,
"사슬반응, 연쇄반응",chain reaction, 連鎖反應
사슬이론,chain theory,
칼코지나이드 유리,chalcogenide glass, カルコゲナイドガラス
찬드라세카 한계,Chandrasekhar limit, チャンドラセカ?ル限界
상변화,change of phase,
상태변화,change of state,
변하는 자기마당,changing magnetic field,
"채널, 통로",channel, チャネル
통로판,channel plate, チャネルプレ?ト
통로 빛띠,channeled spectrum, チャネルドスペクトル
채널링,channeling, チャネリング
"카오스, 혼돈",chaos,カオス
카오스 운동,chaotic motion, 無秩序運動
특성곡선,characteristic curve, 特性曲線
특성 에너지,characteristic energy, 特性エネルギ?
특성방정식,characteristic equation,特性方程式
"특성 진동수, 특성떨기수",characteristic frequency,
특성 떨기수 대역,characteristic frequency region, ホルマント【音】
특성함수,characteristic function, 特性關數
특성임피던스,characteristic impedance, 特性インピ?ダンス
"특성해, 특성풀이",characteristic solution,
특성 온도,characteristic temperature, 特性濕度
특성떨기,characteristic vibration, 固有振動
특성 엑스선,characteristic X-ray(s),
"대전, 전하, 전하량, 충전, 전기띰",charge, 電 荷(荷 電)
"전하나르개, 전하운반자",charge carrier,
전하켤레,charge conjugation, 荷電共役變換
전하 결합 장치,charge coupled device, 電荷結合素子
전하밀도,charge density, 電荷密度
전하밀도파,charge density wave, 電荷密度波
전하분포,charge distribution, 電荷分布
"전하교환, 전하바꿈",charge exchange, 荷電交換
전하바꿈 입사,charge exchange injection, 荷電變換入射
"전하교환 이온화, 전하바꿈 이온화",charge exchange ionization,
전하바꿈 퍼텐셜,charge exchange potential, 荷電交換ポテンシャル
전하바꿈 반응,charge exchange reaction, 荷電交換反應
"전하 교환 산란, 전하 바꿈 흩뜨림",charge exchange scattering,荷電交換散?
전하무관성,charge independence, 荷電獨立性
전하불변성,charge invariance,荷電不?性
전하 한곳모임,charge localization,
전하중성,charge neutrality,
"전하 되틀맞춤, 전하 재규격화",charge renormalization,
전하공간,charge space,
전하 스핀,charge spin, 荷電スピン
전하대칭,charge symmetry, 荷電對稱性
"전하질량견줌비, 질량대전하비",charge to mass ratio,
전하 전달,charge transfer, 電荷移動 / 電荷移行
"대전된<<거시적>>, 전기띤",charged,
"대전된<<거시적>>, 전기띤 물체",charged body, 帶電體
전기띤 흐름,charged current, 荷電カレント
"대전입자, 전기띤 알갱이, 전기띤 입자",charged particle, 荷電粒子
전하감지증폭기,charge-sensitive amplifier, 荷電敏感增幅器
전하전달장치,charge-transfer device, 電荷轉送素子
전하 전달 중합,charge-transfer polymerization, 電荷移動重合
전하전달 빛띠,charge-transfer spectrum, 電荷移動スペクトル
충전,charging, 充 電
샤를의 법칙,Charles' law, シャルルの法則
맵시,charm, チャ?ム
"맵시알갱이, 맵시입자",charm particle, チャ?ム粒子
맵시쿼크,charm quark, チャ?ムクォ?ク
"맵시입자, 차모니움",Charmonium,
차팍상자,Charpak chamber, シャルパックチェンバ?
Charpy 충격시험,Charpy impact test, シャルピ?衝擊試驗
핵종류표,chart of nuclides,
채턱 게이지,Chattock gauge, チャトック壓力計
체코바니상자,Chekovani chamber, チコバニ?チェンバ?
화학 가속기,chemical accelerator, 化學加速器
화학작용,chemical action, 化學作用
화학친화도,chemical affinity, 化學親和力
화학적 원자량,chemical atomic weight,化?的原子量
화학 저울,chemical balance, 化學てんびん
화학적 쬔양재개,chemical dosimeter, 化學線量計
화학적 쬔량측정법,chemical dosimetry, 化學的線量測定法
화학에너지,chemical energy,化?エネルギ?
화학 비김,chemical equilibrium, 化學平衡
화학당량,chemical equivalent, 化學當量
화학식,chemical formula,化?式
반응속도론,chemical kinetics,反?速度論
화학 레이저,chemical laser, 化學レ?ザ?
화학 찬빛냄,chemical luminescence,
화학물리학,chemical physics, 化學物理學
화학퍼텐셜,chemical potential, 化學ポテンシャル
화학적 내비침 효과,chemical radiation effect, 化學的放射線 ?果
화학반응,chemical reaction, 化學反應
화학 풀림법,chemical relaxation method, 化學緩和法
화학 분리,chemical separation, 化學的分離法
"화학치우침, 화학이동",chemical shift, 化學シフト
화학증기증착,chemical vapor deposition, 化學蒸着
화학이온화,chemi-ionization, 化學イオン化
화학발광,chemiluminescence, 化學發光
화학 삼투 가설,chemiosmotic hypothesis, 化學浸透說
"화학 달라붙기, 화학흡착",chemisorption, 化學吸着
화학,chemistry,化?
체렌코프 계수기,Cherenkov counter, チェレンコフカウンタ?
체렌코프 빛,Cherenkov light, チェレンコフ光
체렌코프 내비침,Cherenkov radiation, チェレンコフ放射
천-사이몬 항,Chern-Simon term,
츄-프라우치 도표,Chew-Frautschi plot, チュ?·フラウチ圖
츄-로우 이론,Chew-Low theory, チュ?·ロ?理論
으뜸빛살,chief ray,主光線
칠드-랑뮈에 법칙,Child-Langmuir law,チャイルド-ランミュエの法則
키메라,chimera, キメラ
"손지기 중심, 카이랄리티 중심",chiral center,カイラル中心
"손지기 시계모형, 카이랄 시계모형",chiral clock model,
손진 동역학,chiral dynamics, カイラルダイナミックス
"손지기, 카이랄리티",chirality, カイラリティ
클라드니의 그림,Chladni's figure(s),
초크 줄토리,choke-coil, チョ?クコイル
콜레스테르상,cholesteric phase, コレステリック相
"단속기, 단절기, 자르개",chopper,切?器
"줄, 현, 화음",chord,
크리스토펠 방정식,Christoffel equation,クリストッフェルの方程式
크리스토펠의 기호,Christoffel symbol, クリストッフェルの記號
색수차,chromatic aberration, 色收差
색편광,chromatic polarization, 色偏光 (着色偏光)
"색도, 크로마토시티",chromaticity, (1)色 度 (2)クロマティシティ
색도표,chromaticity diagram, 色度圖
크로멜 알루멜,chromel-alumel, クロメル?アルメル
크로멜-알루멜 열전쌍,chromel-alumel thermocouple,
"크로멜 콘스탄탄 열전쌍, CRC 열전쌍",chromel-constantan thermocouple,
크로멜 구리 열전쌍,chromel-copper thermocouple, クロメル?銅熱電對
염색체,chromosome,染色?
만성효과,chronic effect, 慢性 ?果
만성쬐임,chronic irradiation, 慢性照射
"크로노그래프, 시간기록기",chronograph,クロノグラフ
시간차례곱,chronological product,
크로노미터,chronometer,クロノメ?タ?
활동사진,cinematograph,活動??
"동그라미, 원",circle,円
원본뜨기,circle map,
최소혼동 동그라미,circle of least confusion,最小錯?円
"회로, 흐름길",circuit, 回路
"회로판, 흐름길 판",circuit board,回路板
"회로차단기, 흐름길끊개",circuit breaker,ブレ?カ?
"회로요소, 흐름길요소",circuit element, 回路素子
흐름길,circuit tester, 回路計 / テスタ?
원형 가속기,circular accelerator, 円型加速器
원호,circular arc,
원편광 겹꺾임,circular birefringence,
원형줄토리,circular coil, 円形コイル
원형전류,circular current, 円電流
원편광이색성,circular dichroism, 円偏光二色性
원편광 두번꺾임,circular double refraction,
원형 이중나사선,circular duplex,
원형무늬,circular fringe,
원 방법,circular method, 弧度法
원운동,circular motion, 円運動
"원떨기, 원진동",circular oscillation,
원형흔들이,circular pendulum, 円振り子
원형펄스,circular pulse,
원뿔대,circular truncated cone,
"둥근 파동길잡이, 원형도파관",circular wave guide,
"원편광, 원쏠림빛",circularly polarized light, 円偏光
"원편광판, 원쏠림판",circularly polarizing plate, 円偏光板
순환,circulation, 循 環
순환 상수,circulation constant, 循環定數
자기마당의 순환정리,circulation theorem for magnetic fields,
"원둘레, 원주",circumference,
"외접, 바깥접함",circumscription,
순환실험,circus experiment,
새털 별구름,cirrus nebula,
"시스-꼴, cis-꼴",cis-form, シス形
시스-트란스,cis-trans,
"덧씌움, 피복",cladding, クラッド
"죔쇠, 클램프",clamp, つかみ / クランプ
클라크 수,Clarke number, クラ?ク數
"급, 종",class,クラス
A급 증폭,class A amplification,A級增幅
AB급 증폭,class AB amplification,AB級增幅
B급 증폭,class B amplfication,B級增幅
C급 증폭,class C amplification, C級增幅
고전 흡수,classical absorption, 古典吸收
고전적 퍼짐곁수,classical diffusion coefficient, 古典擴散係數
고전 전자 반지름,classical electron radius, 古典電子半徑
"고전 무리들, 고전 군들",classical groups, 古典群
고전가설,classical hypothesis,古典??
고전역학,classical mechanics, 古典力學
고전물리학,classical physics, 古典物理學
고전 양자론,classical quantum theory, 古典量子論
고전통계 역학,classical statistical mechanics, 古典統計力學
클로드 사이클,Claude cycle, クロ?ドサイクル
클라우싱 인자,Clausing factor, クラウジング係數
클라우지우스 상태방정식,Clausius' equation of state,
클라우지우스 부등식,Clausius inequality, クラウジウスの不等式
클라우지우스,Clausius theorem, クラウジウスの原理
클라우지우스-클라페이론의 공식,Clausius-Clapeyron's formula,
클라우지우스-모소티 관계식,Clausius-Mossotti relation,
청정표면,clean surface, 淸淨表面
쪼개짐,cleavage, へき開
쪼개짐 표면,cleavage surface, へき開面
쪼개짐 결정,cleaving crystals,へき開結晶
쪼개짐면,cleaving plane,へき開面
쪼개짐표면,cleaving surface,へき開表面
클렙시-고단 곁수,Clebsch-Gordan coefficient,
오르기 운동,climb motion, 上昇運動
"체온계, 체온재개",clinical thermometer,??計
경사계,clinometer, クリノメ?タ?(傾斜計)
시계 패러독스,clock paradox, 時計のパラドックス
시계펄스,clock-pulse, クロックパルス
"시계방향돌기, 시계방향회전",clockwise rotation, 時計回り
근접충돌,close collision, 近接衝突
닫힌 결합 방법,close coupling method, 緊密結合法
밀집육방결정,close packed hexagonal,
"꽉채움, 밀집쌓임",close packing,
"닫힌 흐름길, 폐회로",closed circuit, 閉回路
닫힌 전자껍질,closed electron shell,
닫힌 고리,closed loop, 閉じたル?プ
닫힌 자기마당,closed magnetic field, 環狀磁場
폐관 수은압력계,closed mercury column manometer,
닫힌 연산자,closed operator, 閉演算子
"닫힌 자리길, 닫힌궤도",closed orbit, 閉軌道
닫힌 집합,closed set,
"닫힌 껍질, 채워진 껍질",closed shell, 閉 殼
닫힌 계,closed system, (1)閉じた系 (2)閉端系
닫힌 관,closed tube, 閉 管
닫힌 고리제어,closed-loop control, 閉ル?プ制御
"꽉채운 살창, 밀집살창",close-packed lattice, 最密格子
"밀집면, 꽉채운 면",close-packed plane, 最密面
"밀집 구조, 꽉채운 구조",close-packed structure, 最密構造
닫힌 어림법,closure approximation, クロ?ジャ-近似
닫힌 구역,closure domain,
닫힌 성질,closure property,
구름,cloud,
안개상자,cloud chamber, 霧 箱
구름 물리학,cloud physics,
흐린 수정공 모형,cloud-crystal-ball model, 曇り小晶球模型
"무더기, 송이",cluster, クラスタ?
"무더기 전개법, 송이 전개법",cluster expansion, クラスタ?展開
무더기 적분,cluster integral, クラスタ?積分
무더기 이온,cluster ion, 複合イオン
무더기 모형,cluster model, クラスタ?模型
은하단,cluster of galaxies, 銀河團
무더기 성질,cluster property, クラスタ?性
시엔 순환,C-N cycle,
크네어 방법,Cnare's method, クネ?ル法
씨엔오 되돌이,CNO cycle, CNOサイクル
엉김,coagulation,
융합 모형,coalescence model, コアレセンス模型
대충조정,coarse adjustment,
"거친 낟알 만들기, 대충갈기",coarse graining, 粗視化
대충갈기,coarse-graining, 粗視化
코팅,coating, コ?ティング
동축 케이블,coaxial cable, 同軸ケ?ブル
동축껴떨개,coaxial resonator, 同軸共振器
동축여닫이,coaxial switch, 同軸スイッチ
동축파길이재개,coaxial wavemeter, 同軸波長計
콕크로프트-월턴 고전압 발생장치,Cockcroft-Walton high voltage generator, コッククロフト·ワルトン高電壓發生裝置
콕크로프트-월턴의 장치,Cockcroft-Walton's apparatus,
암호 변환,code conversion, コ?ド變換
곁수,coefficient, 係 數
전기들이 곁수,coefficient of capacitance, 容量係數
"부피불음곁수, 부피팽창곁수",coefficient of cubical expansion, 體膨張率(體膨張係數)
"탄성곁수, 튐성곁수",coefficient of elasticity,
"전기들이곁수, 전기용량곁수",coefficient of electric capacity,
"정전기들이곁수, 정전기용량곁수",coefficient of electrostatic capacity,
"정전기유도곁수, 정전기이끎곁수",coefficient of electrostatic induction, 靜電誘導係數
정전기전위곁수,coefficient of electrostatic potential,
"흡광곁수, 흡수곁수",coefficient of extinction,
자유분자 속쓸림 곁수,coefficient of free molecule viscosity, 自由分子粘性係數
쓸림곁수,coefficient of friction, 摩擦係數
열전도곁수,coefficient of heat conduction,
"유도곁수, 이끎곁수",coefficient of induction, 誘導係數
관성곁수,coefficient of inertia, 慣性係數
운동 속쓸림의 곁수,coefficient of kinematic viscosity, 動粘性率《運動粘性率》
"미끄림쓸림곁수, 운동쓸림곁수",coefficient of kinetic friction, 動摩擦係數《運動摩擦係數》
"길이불음곁수, 선팽창곁수",coefficient of linear expansion, 線膨脹率(線膨張係數)
성능곁수,coefficient of performance, 成績係數
퍼텐셜 곁수,coefficient of potential, 電位係數
튀기곁수,coefficient of restitution, 反發係數(はね返り係數)
굴림쓸림곁수,coefficient of rolling friction,
"스스로이끎곁수, 자체유도곁수",coefficient of self-induction,
멈춤쓸림곁수,coefficient of static friction, 靜止摩擦係數
"열불음곁수, 열팽창곁수",coefficient of thermal expansion, 熱膨張率(熱膨張係數)
열저항곁수,coefficient of thermal resistivity,熱抵抗係?
보효소,coenzyme, 補酵素
보자력마당,coercive field,
보자력,coercive force, 保磁力(抗磁力)
공존곡선,coexistence curve, 共存曲線
여인수,cofactor,
결맞음,coherence,[可]干涉性
결맞음 인자,coherence factor, コヒ?レンス因子
결맞음 길이,coherence length, コヒ?レンス長(干涉長)
결맞음 시간,coherence time, 可干涉時間
결맞는,coherent,干涉性
결맞는 제동내비침,coherent bremsstrahlung, コヒ?レント制動放射
결맞는 길이,coherent length,干?性長さ
결맞는 빛,coherent light, コヒ?レント光
"결맞는 중성자 산란, 결맞는 중성자 흩뜨림",coherent neutron scattering,
결맞는 퍼텐셜 어림법,coherent potential approximation, コヒ?レントポテンシャル近似
결맞는 생성,coherent production, コヒ?レント生成
결맞는 표시,coherent representation, コヒ?レント表示
"결맞는 산란, 결맞는 흩뜨림",coherent scattering, コヒ?レント散亂(干涉性散亂)
결맞는 상태,coherent state, コヒ?レント狀態
결맞는 과도 분광법,coherent transient spectroscopy, コヒ?レント過渡分光法
"결맞는 엑스선 산란, 결맞는 엑스선 흩뜨림",coherent X-ray scattering,干?性X線散?
"결맞는 광원, 결맞는 빛샘",coherent-light source,
"엉킴, 응집, 응집력, 엉킴힘",cohesion, 凝集[力]
"엉킴 에너지, 응집 에너지",cohesive energy, 凝集エネルギ?
"응집력, 엉킴힘",cohesive force, 凝集力
줄토리,coil, コイル
줄토리 고분자,coiled polymer, 絲まリ狀高分子
일치,coincidence, 一 致
"부합경계, 일치하는 경계",coincidence boundary, 對應粒界 / コインシデンス粒界
"동시회로, 동시흐름길",coincidence circuit, 同時[計數]回路
"동시계수기, 동시수세개",coincidence counter,
동시수셈,coincidence counting,
(종횡파) 동시효과,coincidence effect, コインシデンス ?果
동시방법,coincidence method, (1)同時計數法 (2)合致法
동시분별시간,coincidence resolving time,
동시분광(학),coincidence spectroscopy,同時分光?
동시기법,coincidence technique,同時技法
동시수셈법,coincidence-counting method,
찬음극,cold cathode, 冷陰極
찬 음극방전표시관,cold cathode discharge indicator tube, 表示放電管
냉음극 방출,cold cathode emission, 冷陰極放出
